7response,context,context/0,context/1,context/2,context/3,context/4,context/5
" Very disappointing, to say the least, and unacceptable in my own home. I'm still shocked. "," No, it's done now. Just remember to practice kindness with customers please. I don't understand why everyone has been so rude thus far. ", My apologies for any frustrations or poor service youâ€ve experienced Desiree. Is there anything I may be able to help with? ,I've never had a rude cable guy before until forced to switch to ðŸ˜’ the people on the phone were rude and now this dude? , , , , 
" Chx burrito bowl all the works, bring on the GUAC!!!ðŸ¤—ðŸ’– ", Welcome to my life. What's your usual order? ,I'm geekin for sum rightnowðŸ¤—ðŸ˜‚ðŸ¥ , , , , , 
 No worries. I got my four burrito bowls without issue. Lucky me. We beat the lines! ," It's our annual Boorito promotion, and we turn it off for the night. My apologies for any frustration. ",No online orders today? Really ? , , , , , 
 We're here to help! Send us a DM with your email address and more details so we can follow up. ,do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help? , , , , , , 
 Yes hungry rutgers student â¤ï¸ , Did you come dressed in costume? ,Bruh u really just made me pay full price for my burrito I'm tight , , , , , 
 Yes it is. , Is your router up and working? , Didnâ€t work. Channels come up in guide (always have) by tv freezes when changing to anything under 523. , Reboot your router nd thn cable boxes and let us know if the issue clears please. , Ok. Now what? , Press and hold the alarm silence / ONT reboot button for 30 seconds. , Iâ€m standing in front of it , Do you know where your ONT is located? The backup battery system address. 
 Have you made any recent changes to your package? , Same problem on both boxes ," We are here to help, is this happening on all your TV's or a specific one? ",Iâ€ve lost my network channels and other channels are glitchy. Need help! , , , , 
 We understand. , Iâ€m on the phone with your tech now looks like Iâ€ll be another day without internet ," Are you back home now? If so, we would be glad to troubleshoot. Feel free to return to our chat. ",I have been without internet for two days and yâ€all gonna tell me to wait til tomorrow , , , , 
 CreÃ­ que lo habÃ­a hecho. Ahora les vuelvo a escribir por privado. , Hola Ezequiel! Por favor siguenos en Twitter para poder brindarte asistencia por mensajes directos. ,he platinado Horizon Zero Dawn el 1/7/2017 y no he recibido el tema exclusivo vÃ­a mail. Â¿podrÃ­an revisarlo? ID:Rezequiel. , , , , , 
" Hi there, Please check your DM's for further instructions. ","Hi! Having issue with an old account, no idea what the login/email is for it but I know the ID ", , , , , , 
" Please wait until launch, make sure you are on the main account that purchased and owns the content. "," How do I recieve the 2xp and weapon unlock though, is it in my gam ready when I load it up? "," Hey there, if you pre purchased the game via console store you should be good to go for launch. ","hey, I have pre ordered ww2 on the Xbox store, how will I receive my cod ww2 2xp and weapon unlock?? ", , , , 
 Can I use my 3 of a kind on WWII? ðŸ¤”ðŸ˜‚ plz , Let us transfer over cryptokeys ðŸ˜­ I have so many , ,If I have COD Points on BO3/IW will I have those same COD Points in WW2? , , , , 
 Sorry mean 22:11:41 ," Hi Simon, I am sorry to hear this. As far as I can see this service to schedule. ",The 22.12 train from Clapham Junction to Surbiton left early. The only train to be early in weeks. Just as annoying. , , , , , 
" Hi Simon, I am sorry to hear this. As far as I can see this service to schedule. ",The 22.12 train from Clapham Junction to Surbiton left early. The only train to be early in weeks. Just as annoying. , , , , , , 
 The one you guys give in box at purchase , Hi there! Mind clarifying for us the make/model of the headset that you are using? ,A headset should be a simple plug in and go method right? , , , , , 
 I bought it in the Arbroath store last week. ," Hi Bernio, Was this purchased in store or home delivered? Daniel ",my Â£180 Ring doorbell is constantly down. Seems now that every Ring doorbell and camera on earth is down. Refund required. , , , , , 
" We disagree, Dylan. We're excited that you're choosing us, for all your sporting needs. ðŸ€ðŸ›’ðŸˆ ",Just got recognized at as the guy who buys shopping carts full of sports equipment by an employee. I think I'm here too often!!! , , , , , , 
 Or even reply. ,your drivers are now officially worse than the auto walas. And you sit there and refuse to listen. , , , , , , 
 The busy area fee helps us maintain the reliability and & speed of our service. You can try again later when there may be less demand. ,surge pricing is ridiculous. I literally just ordered the exact same food from on for $13 less. ðŸ„ , , , , , , 
" Hey there, Jasmany! We can see that a member of our team is looking into this for you. In an effort to enhance your support experience, and to avoid further confusion we'll be following up with any further questions or concerns you may have through in-app support. "," That's a big lie otherwise my account would be up and running, stop lying, I'll make it public all the lies your guys have told me, been told it would only take 48 hours been waiting 5 DAYS "," Sorry to hear about the trouble, Jasmany. We've escalated your concern a member of our team will be in touch shortly via in-app. These type of issues are handled off social media. We apologize for any inconvenience this may have caused. ","ANSWER ME, WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE MY ACCOUNT GETS PUT ON HOLD???????? ", , , , 
" I already messaged you her email address. Not sure what you mean with in-app support, but do you realize you guys deactivated her account? "," We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with her directly via in-app support. ","My wife account got charged w 2 uber eats orders we never placed. Called help number, and after 20 min hold, all we were told had to email uber help Seriously? ", , , , , 
 08070635658 , Good evening Solomon. May we have your cellphone number to run a check on your line? FA ,a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe , , , , , 
 Well I have tried and they clearly said they can't as I opened the box ," Hi Mohammed, I'd advise returning the product returning the Nappies with your delivery documents to your nearest Metro,Superstore or Extra. My colleagues there will be able to assist further. Ty James ", Thanks this was an online order and I don't know why but all yh nappies were like this and I have been using this for over 9 months and never has this issue ," In this case, we'd recommend trying a smaller size to see if that helps. I'm also sorry to learn of the leaking, can I just check that you're referring to the absorbency gel please? Can you DM your full name, address and & email please? 2/2 ",hello i want to know recently I bough Ann online grocery order what some baby nappies in them as well but the nappies wouldn't even stay on the child for some reason one half box was like that and they were leaking so I called contact centre and they said they can't do nth , , , 
